frame.number,_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,_ws.col.Length,_ws.col.Info
1,0.000000000,10.11.12.22,1.0.0.1,TCP,60,42974 → 853 [FIN, ACK] Seq=1 Ack=1 Win=502 Len=0
2,0.001358947,172.30.32.3,1.0.0.1,TCP,60,42958 → 853 [FIN, ACK] Seq=1 Ack=1 Win=502 Len=0
3,0.027358329,10.11.12.32,52.29.14.77,UDP,74,54321 → 8053 Len=32
4,0.051704392,52.29.14.77,10.11.12.32,UDP,74,8053 → 54321 Len=32
5,0.107337439,10.11.12.22,1.0.0.1,TCP,60,37902 → 853 [FIN, ACK] Seq=1 Ack=1 Win=502 Len=0
6,0.122258374,34.120.160.131,10.11.12.18,TLSv1.2,110,Application Data
7,0.174868488,10.11.12.18,34.120.160.131,TCP,60,32590 → 443 [ACK] Seq=1 Ack=57 Win=512 Len=0
8,0.223727392,10.11.12.22,1.0.0.1,TCP,60,41002 → 853 [FIN, ACK] Seq=1 Ack=1 Win=502 Len=0
9,0.304957855,84:8b:cd:4a:8a:5a,4c:17:44:c2:67:09,ARP,42,Who has 10.11.12.23? Tell 10.11.12.1
10,0.309644548,4c:17:44:c2:67:09,84:8b:cd:4a:8a:5a,ARP,60,10.11.12.23 is at 4c:17:44:c2:67:09
11,0.511450119,10.11.12.22,1.1.1.1,TCP,60,41920 → 853 [FIN, ACK] Seq=1 Ack=1 Win=502 Len=0
12,0.543269437,10.11.12.22,1.0.0.1,TCP,60,[TCP Retransmission] 37902 → 853 [FIN, ACK] Seq=1 Ack=1 Win=502 Len=0
13,0.623465916,10.11.12.16,10.11.12.1,TCP,74,47616 → 80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=341085536 TSecr=0 WS=128
14,0.623639583,10.11.12.1,10.11.12.16,TCP,74,80 → 47616 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=4126329139 TSecr=341085536 WS=128
15,0.624921678,10.11.12.16,10.11.12.1,TCP,66,47616 → 80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=341085541 TSecr=4126329139
