sample	cpu_pct	mem_mb	status
1	0.9975	721.3	ok
2	1.0000	721.3	ok
3	1.0000	721.4	ok
4	1.0000	721.4	ok
5	1.9950	721.5	ok
6	3.0075	721.5	ok
7	1.0000	721.6	ok
8	1.9900	721.6	ok
9	1.9900	721.6	ok
10	3.0000	721.7	ok
11	0.9975	721.7	ok
12	1.9950	721.7	ok
13	2.0000	721.8	ok
14	2.9925	721.8	ok
15	0.9950	721.9	ok
16	0.9950	721.9	ok
17	2.0000	722.0	ok
18	1.9950	722.0	ok
19	3.0000	722.0	ok
20	2.0050	722.1	ok
21	2.0000	722.2	ok
22	2.0000	722.2	ok
23	2.0000	722.3	ok
24	3.0075	722.3	ok
25	2.0000	722.4	ok
26	2.0000	722.5	ok
27	1.0025	722.5	ok
28	3.0075	722.6	ok
29	2.0000	722.7	ok
30	2.0000	722.8	ok
31	2.0000	722.8	ok
32	2.0000	722.9	ok
33	2.9925	723.0	ok
34	0.9975	723.0	ok
35	1.0000	723.1	ok
36	2.0000	723.1	ok
37	3.0000	723.1	ok
38	3.0075	723.2	ok
39	2.0000	723.2	ok
40	0.9975	723.2	ok
41	1.0000	723.3	ok
42	1.9950	723.4	ok
43	2.9925	723.4	ok
44	0.9975	723.4	ok
45	0.0000	723.5	ok
46	0.0000	723.5	ok
47	0.0000	723.5	ok
48	1.0000	723.6	ok
49	2.0000	723.6	ok
50	2.9925	723.6	ok
51	0.9975	723.7	ok
52	0.9975	723.7	ok
53	1.0000	723.8	ok
54	1.0000	723.8	ok
55	2.9925	723.9	ok
56	0.9975	723.9	ok
57	1.9950	723.9	ok
58	2.0000	724.0	ok
59	2.0000	724.0	ok
60	3.0000	724.5	ok
